original_priority_rank,word,url,canonical_slug_valid,BD_IMPRESSIONS,BD_CLICKS,BD_CTR,BD_POSITION,BD_RELEVANT_QUERY_IMPRESSIONS,tier,migration_class,rendering_state,source_completeness_score,source_fields_present,source_bangla,source_definition,source_part_of_speech,source_example,source_synonyms,source_antonyms,source_word_family,source_pronunciation,source_editorial_status,classification,source_problem,recommended_action,synthetic_example_rejected,publish_bangla,publish_definition,publish_part_of_speech,publish_example,publish_synonyms,publish_antonyms,publish_word_family,publish_pronunciation,publish_synonym_values,publish_antonym_values,publish_word_family_values,future_omissions
1,hosted,https://ovidhan.net/word/hosted.html,True,1,0,0.0,8.0,1,A,REVIEW,LEGACY,6,bangla;definition;pos;example;synonyms;word_family,হোস্ট করা,be the host of or for,verb,'hosted' is common in English.,host,,host,,,APPROVE_WITH_OMISSIONS,Synthetic/meta example must be omitted.,INCLUDE_IN_TREATMENT,True,True,True,True,False,False,False,True,False,,,host,example;synonyms
2,integration,https://ovidhan.net/word/integration.html,True,2,0,0.0,11.5,1,A,REVIEW,LEGACY,7,bangla;definition;pos;example;synonyms;antonyms;word_family,ইন্টিগ্রেশন,the action of incorporating a racial or religious group into a community,noun,This is a integration.,integration;desegregation;integrating,segregation,desegregate;consolidate;integrate,,,APPROVE_WITH_OMISSIONS,Bangla transliteration and grammatically broken synthetic example must be omitted; narrow but valid definition may be published.,INCLUDE_IN_TREATMENT,True,False,True,True,False,False,True,False,False,,segregation,,bangla;example;synonyms;word_family
3,outright,https://ovidhan.net/word/outright.html,True,5,0,0.0,19.2,4,B,REVIEW,LEGACY,1,bangla,সরাসরি,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
4,street,https://ovidhan.net/word/street.html,True,2,0,0.0,25.0,1,A,REVIEW,LEGACY,5,bangla;definition;pos;example;synonyms,রাস্তা,a thoroughfare (usually including sidewalks) that is lined with buildings,noun,I know the word 'street'.,street,,,,,APPROVE_WITH_OMISSIONS,Synthetic/meta example must be omitted.,INCLUDE_IN_TREATMENT,True,True,True,True,False,False,False,False,False,,,,example;synonyms
5,net-worth,https://ovidhan.net/word/net-worth.html,True,4,0,0.0,12.0,0,B,REVIEW,LEGACY,1,bangla,মোট মূল্য,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
6,tension,https://ovidhan.net/word/tension.html,True,9,0,0.0,54.22,4,B,REVIEW,LEGACY,1,bangla,উত্তেজনা,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
7,provision,https://ovidhan.net/word/provision.html,True,2,0,0.0,68.0,0,A,REVIEW,LEGACY,6,bangla;definition;pos;example;synonyms;word_family,বিধান,a stipulated condition,noun,Can you use 'provision' in a sentence?,proviso;provision,,supply;provisioner;provide;purveyor;provision;purveyance;plan;provisionary,,,APPROVE_WITH_OMISSIONS,Synthetic/meta example must be omitted.,INCLUDE_IN_TREATMENT,True,True,True,True,False,True,False,False,False,proviso,,,example;unverified_synonyms;word_family
8,sinuous,https://ovidhan.net/word/sinuous.html,True,1,0,0.0,9.0,1,B,REVIEW,LEGACY,1,bangla,পাপপূর্ণ,,,,,,,,draft,REJECT,Bangla meaning 'পাপপূর্ণ' is incorrect for sinuous; no independent definition is present.,DATA_REMEDIATION,False,False,False,False,False,False,False,False,False,,,,bangla
9,ugly,https://ovidhan.net/word/ugly.html,True,4,0,0.0,29.75,2,B,REVIEW,LEGACY,1,bangla,কুৎসিত,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
10,wide,https://ovidhan.net/word/wide.html,True,1,0,0.0,69.0,2,A,REVIEW,LEGACY,7,bangla;definition;pos;example;synonyms;antonyms;word_family,প্রশস্ত,having great (or a certain) extent from one side to the other,adjective,This is a wide.,wide;broad,narrow,wideness;spaciousness;broadness;extensiveness;fullness,,,APPROVE_WITH_OMISSIONS,Synthetic/meta example must be omitted.,INCLUDE_IN_TREATMENT,True,True,True,True,False,True,True,False,False,broad,narrow,,example;unverified_synonyms;word_family
11,saturday,https://ovidhan.net/word/saturday.html,True,1,0,0.0,83.0,1,A,REVIEW,LEGACY,5,bangla;definition;pos;example;synonyms,শনিবার,the seventh and last day of the week; observed as the Sabbath by Jews and some Christians,noun,This is a saturday.,Saturday;Sat;Sabbatum,,,,,APPROVE_WITH_OMISSIONS,Synthetic/meta example must be omitted.,INCLUDE_IN_TREATMENT,True,True,True,True,False,False,False,False,False,,,,example;synonyms
12,stroll,https://ovidhan.net/word/stroll.html,True,3,0,0.0,24.67,3,B,REVIEW,LEGACY,1,bangla,হাঁটা,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
13,mayhem,https://ovidhan.net/word/mayhem.html,True,1,0,0.0,11.0,1,B,REVIEW,LEGACY,1,bangla,মারপিট,,,,,,,,draft,HUMAN_REVIEW,Bangla 'মারপিট' is narrower than mayhem and may select the wrong primary sense.,HUMAN_EDITOR_REVIEW,False,False,False,False,False,False,False,False,False,,,,bangla
14,quirky,https://ovidhan.net/word/quirky.html,True,3,0,0.0,21.33,3,B,REVIEW,LEGACY,1,bangla,অদ্ভুত,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
15,mercantile,https://ovidhan.net/word/mercantile.html,True,1,0,0.0,11.0,1,B,REVIEW,LEGACY,1,bangla,ব্যবসায়িক,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
16,february,https://ovidhan.net/word/february.html,True,1,0,0.0,55.0,0,A,REVIEW,LEGACY,5,bangla;definition;pos;example;synonyms,ফেব্রুয়ারী,the month following January and preceding March,noun,'february' is common in English.,February;Feb,,,,,APPROVE_WITH_OMISSIONS,Synthetic/meta example must be omitted.,INCLUDE_IN_TREATMENT,True,True,True,True,False,False,False,False,False,,,,example;synonyms
17,on,https://ovidhan.net/word/on.html,True,1,0,0.0,74.0,0,A,REVIEW,LEGACY,6,bangla;definition;pos;example;synonyms;antonyms,অন,in operation or operational,adjective,I know the word 'on'.,on,off,,,,HUMAN_REVIEW,Bangla is only 'অন' and the definition covers a narrow adjective sense of a highly polysemous word.,HUMAN_EDITOR_REVIEW,True,False,False,False,False,False,False,False,False,,,,antonyms;bangla;definition;example;part_of_speech;synonyms
18,oversee,https://ovidhan.net/word/oversee.html,True,1,0,0.0,12.0,1,B,REVIEW,LEGACY,1,bangla,তদারকি,,,,,,,,draft,APPROVE,Verified learner-useful Bangla meaning and/or definition; missing optional fields remain absent.,INCLUDE_IN_TREATMENT,False,True,False,False,False,False,False,False,False,,,,none
