allowlisted,treatment_id,word,url,path,classification,publish_bangla,publish_definition,publish_part_of_speech,publish_example,publish_synonyms,publish_antonyms,publish_word_family,publish_synonym_values,publish_antonym_values,publish_word_family_values,publish_pronunciation,future_omissions,manifest_frozen
True,T001,hosted,https://ovidhan.net/word/hosted.html,word/hosted.html,APPROVE_WITH_OMISSIONS,True,True,True,False,False,False,True,,,host,False,example;synonyms,True
True,T002,integration,https://ovidhan.net/word/integration.html,word/integration.html,APPROVE_WITH_OMISSIONS,False,True,True,False,False,True,False,,segregation,,False,bangla;example;synonyms;word_family,True
True,T003,outright,https://ovidhan.net/word/outright.html,word/outright.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T004,street,https://ovidhan.net/word/street.html,word/street.html,APPROVE_WITH_OMISSIONS,True,True,True,False,False,False,False,,,,False,example;synonyms,True
True,T005,net-worth,https://ovidhan.net/word/net-worth.html,word/net-worth.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T006,tension,https://ovidhan.net/word/tension.html,word/tension.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T007,provision,https://ovidhan.net/word/provision.html,word/provision.html,APPROVE_WITH_OMISSIONS,True,True,True,False,True,False,False,proviso,,,False,example;unverified_synonyms;word_family,True
True,T008,ugly,https://ovidhan.net/word/ugly.html,word/ugly.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T009,wide,https://ovidhan.net/word/wide.html,word/wide.html,APPROVE_WITH_OMISSIONS,True,True,True,False,True,True,False,broad,narrow,,False,example;unverified_synonyms;word_family,True
True,T010,saturday,https://ovidhan.net/word/saturday.html,word/saturday.html,APPROVE_WITH_OMISSIONS,True,True,True,False,False,False,False,,,,False,example;synonyms,True
True,T011,stroll,https://ovidhan.net/word/stroll.html,word/stroll.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T012,quirky,https://ovidhan.net/word/quirky.html,word/quirky.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T013,mercantile,https://ovidhan.net/word/mercantile.html,word/mercantile.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T014,february,https://ovidhan.net/word/february.html,word/february.html,APPROVE_WITH_OMISSIONS,True,True,True,False,False,False,False,,,,False,example;synonyms,True
True,T015,oversee,https://ovidhan.net/word/oversee.html,word/oversee.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T016,pose,https://ovidhan.net/word/pose.html,word/pose.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T017,procure,https://ovidhan.net/word/procure.html,word/procure.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T018,weird,https://ovidhan.net/word/weird.html,word/weird.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T019,rod,https://ovidhan.net/word/rod.html,word/rod.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T020,legible,https://ovidhan.net/word/legible.html,word/legible.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T021,tram,https://ovidhan.net/word/tram.html,word/tram.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T022,labour,https://ovidhan.net/word/labour.html,word/labour.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T023,loophole,https://ovidhan.net/word/loophole.html,word/loophole.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T024,magenta,https://ovidhan.net/word/magenta.html,word/magenta.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T025,terrible,https://ovidhan.net/word/terrible.html,word/terrible.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T026,lean,https://ovidhan.net/word/lean.html,word/lean.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T027,sack,https://ovidhan.net/word/sack.html,word/sack.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T028,sink,https://ovidhan.net/word/sink.html,word/sink.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T029,mirth,https://ovidhan.net/word/mirth.html,word/mirth.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T030,mutiny,https://ovidhan.net/word/mutiny.html,word/mutiny.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T031,purge,https://ovidhan.net/word/purge.html,word/purge.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T032,sturdy,https://ovidhan.net/word/sturdy.html,word/sturdy.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T033,musk,https://ovidhan.net/word/musk.html,word/musk.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T034,rudimentary,https://ovidhan.net/word/rudimentary.html,word/rudimentary.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T035,tunnel,https://ovidhan.net/word/tunnel.html,word/tunnel.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T036,constellation,https://ovidhan.net/word/constellation.html,word/constellation.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T037,prologue,https://ovidhan.net/word/prologue.html,word/prologue.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T038,quake,https://ovidhan.net/word/quake.html,word/quake.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T039,spectacular,https://ovidhan.net/word/spectacular.html,word/spectacular.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T040,wallet,https://ovidhan.net/word/wallet.html,word/wallet.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T041,integrity,https://ovidhan.net/word/integrity.html,word/integrity.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
True,T042,pedestrian,https://ovidhan.net/word/pedestrian.html,word/pedestrian.html,APPROVE,True,False,False,False,False,False,False,,,,False,none,True
