word,url,protection_status,protection_reason,global_clicks,global_impressions,metric_scope,country_confidence,country_data_requirement
a,https://ovidhan.net/word/a.html,AUTO_PROTECTED,Batch 1,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required
aa,https://ovidhan.net/word/aa.html,AUTO_PROTECTED,Batch 1,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required
ab,https://ovidhan.net/word/ab.html,AUTO_PROTECTED,Batch 1,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required
abacus,https://ovidhan.net/word/abacus.html,AUTO_PROTECTED,Batch 1,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required
abalone,https://ovidhan.net/word/abalone.html,AUTO_PROTECTED,Batch 1,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required
abandon,https://ovidhan.net/word/abandon.html,AUTO_PROTECTED,Batch 1,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required
abandonment,https://ovidhan.net/word/abandonment.html,AUTO_PROTECTED,Batch 1,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required
abate,https://ovidhan.net/word/abate.html,AUTO_PROTECTED,Batch 1,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required
abbey,https://ovidhan.net/word/abbey.html,AUTO_PROTECTED,Batch 1,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required
abbreviate,https://ovidhan.net/word/abbreviate.html,AUTO_PROTECTED,Batch 1,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required
abc,https://ovidhan.net/word/abc.html,AUTO_PROTECTED,Batch 1,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required
abdicate,https://ovidhan.net/word/abdicate.html,AUTO_PROTECTED,Batch 1,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required
abdomen,https://ovidhan.net/word/abdomen.html,AUTO_PROTECTED,Batch 1,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required
abduction,https://ovidhan.net/word/abduction.html,AUTO_PROTECTED,Batch 1,0,3,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required
aberrant,https://ovidhan.net/word/aberrant.html,AUTO_PROTECTED,Batch 1,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required
ability,https://ovidhan.net/word/ability.html,AUTO_PROTECTED,Batch 1,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required
able,https://ovidhan.net/word/able.html,AUTO_PROTECTED,Batch 1,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required
abode,https://ovidhan.net/word/abode.html,AUTO_PROTECTED,Batch 1,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required
abolish,https://ovidhan.net/word/abolish.html,AUTO_PROTECTED,Batch 1,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required
abolition,https://ovidhan.net/word/abolition.html,AUTO_PROTECTED,Batch 1,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required
aboriginal,https://ovidhan.net/word/aboriginal.html,AUTO_PROTECTED,Batch 1,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required
