cohort,cohort_id,word,url,BASELINE_DATE,GSC_PERIOD,COUNTRY,BD_IMPRESSIONS,BD_CLICKS,BD_CTR,BD_POSITION,tier,source_completeness_score,rendering_state,cohort_frozen,query_intent
TREATMENT,T001,hosted,https://ovidhan.net/word/hosted.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,8.0,A,6,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T002,integration,https://ovidhan.net/word/integration.html,2026-08-16,Last 3 months,Bangladesh,2,0,0.0,11.5,A,7,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T003,outright,https://ovidhan.net/word/outright.html,2026-08-16,Last 3 months,Bangladesh,5,0,0.0,19.2,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T004,street,https://ovidhan.net/word/street.html,2026-08-16,Last 3 months,Bangladesh,2,0,0.0,25.0,A,5,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T005,net-worth,https://ovidhan.net/word/net-worth.html,2026-08-16,Last 3 months,Bangladesh,4,0,0.0,12.0,B,1,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T006,tension,https://ovidhan.net/word/tension.html,2026-08-16,Last 3 months,Bangladesh,9,0,0.0,54.22,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T007,provision,https://ovidhan.net/word/provision.html,2026-08-16,Last 3 months,Bangladesh,2,0,0.0,68.0,A,6,LEGACY,True,PAGE_ONLY_OR_UNATTRIBUTED
TREATMENT,T008,ugly,https://ovidhan.net/word/ugly.html,2026-08-16,Last 3 months,Bangladesh,4,0,0.0,29.75,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T009,wide,https://ovidhan.net/word/wide.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,69.0,A,7,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T010,saturday,https://ovidhan.net/word/saturday.html,2026-08-16,Last 3 months,Bangladesh,1,0,0.0,83.0,A,5,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
TREATMENT,T011,stroll,https://ovidhan.net/word/stroll.html,2026-08-16,Last 3 months,Bangladesh,3,0,0.0,24.67,B,1,LEGACY,True,MATCHED_ENGLISH_LEARNING_QUERY
