word,url,protection_status,reason,BD_IMPRESSIONS,BD_CLICKS
a,https://ovidhan.net/word/a.html,AUTO_PROTECTED,Batch 1,0,0
aa,https://ovidhan.net/word/aa.html,AUTO_PROTECTED,Batch 1,0,0
ab,https://ovidhan.net/word/ab.html,AUTO_PROTECTED,Batch 1,0,0
abacus,https://ovidhan.net/word/abacus.html,AUTO_PROTECTED,Batch 1,0,0
abalone,https://ovidhan.net/word/abalone.html,AUTO_PROTECTED,Batch 1,0,0
abandon,https://ovidhan.net/word/abandon.html,AUTO_PROTECTED,Batch 1,0,0
abandonment,https://ovidhan.net/word/abandonment.html,AUTO_PROTECTED,Batch 1,0,0
abate,https://ovidhan.net/word/abate.html,AUTO_PROTECTED,Batch 1,0,0
abbey,https://ovidhan.net/word/abbey.html,AUTO_PROTECTED,Batch 1,0,0
abbreviate,https://ovidhan.net/word/abbreviate.html,AUTO_PROTECTED,Batch 1,0,0
abc,https://ovidhan.net/word/abc.html,AUTO_PROTECTED,Batch 1,0,0
abdicate,https://ovidhan.net/word/abdicate.html,AUTO_PROTECTED,Batch 1,0,0
abdomen,https://ovidhan.net/word/abdomen.html,AUTO_PROTECTED,Batch 1,0,0
abduction,https://ovidhan.net/word/abduction.html,AUTO_PROTECTED,Batch 1,0,0
aberrant,https://ovidhan.net/word/aberrant.html,AUTO_PROTECTED,Batch 1,0,0
ability,https://ovidhan.net/word/ability.html,AUTO_PROTECTED,Batch 1,0,0
able,https://ovidhan.net/word/able.html,AUTO_PROTECTED,Batch 1,0,0
abode,https://ovidhan.net/word/abode.html,AUTO_PROTECTED,Batch 1,0,0
abolish,https://ovidhan.net/word/abolish.html,AUTO_PROTECTED,Batch 1,0,0
abolition,https://ovidhan.net/word/abolition.html,AUTO_PROTECTED,Batch 1,0,0
aboriginal,https://ovidhan.net/word/aboriginal.html,AUTO_PROTECTED,Batch 1,0,0
abort,https://ovidhan.net/word/abort.html,AUTO_PROTECTED,Batch 1,0,0
about,https://ovidhan.net/word/about.html,AUTO_PROTECTED,Batch 1,0,0
above,https://ovidhan.net/word/above.html,AUTO_PROTECTED,Batch 1,0,0
