word,url,BD_CLICKS,BD_IMPRESSIONS,BD_CTR,BD_POSITION,metric_scope,migration_class,tier,tier_score,batch_1,static_legacy_status,self_canonical,rendering_quality,indexability_signals_pass,source_completeness_score,source_fields_present,tier_flags
unconventional,https://ovidhan.net/word/unconventional.html,0,35,0.0,9.94,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
shard,https://ovidhan.net/word/shard.html,0,9,0.0,10.44,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
slytherin,https://ovidhan.net/word/slytherin.html,0,9,0.0,7.11,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
tension,https://ovidhan.net/word/tension.html,0,9,0.0,54.22,BANGLADESH-FILTERED GSC,REVIEW,B,3,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,1,bangla,pos-missing;editorial-status-draft
moreno,https://ovidhan.net/word/moreno.html,0,8,0.0,10.38,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
outta,https://ovidhan.net/word/outta.html,0,8,0.0,11.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
reinvent,https://ovidhan.net/word/reinvent.html,0,8,0.0,11.25,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
underwhelming,https://ovidhan.net/word/underwhelming.html,0,8,0.0,7.75,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
luther,https://ovidhan.net/word/luther.html,0,7,0.0,8.71,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
sephora,https://ovidhan.net/word/sephora.html,0,7,0.0,5.14,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
shenanigans,https://ovidhan.net/word/shenanigans.html,0,7,0.0,11.29,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
skewed,https://ovidhan.net/word/skewed.html,0,7,0.0,58.43,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
totality,https://ovidhan.net/word/totality.html,0,7,0.0,11.57,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
watched,https://ovidhan.net/word/watched.html,0,7,0.0,11.71,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
barbaric,https://ovidhan.net/word/barbaric.html,0,6,0.0,9.5,BANGLADESH-FILTERED GSC,KEEP-INDEXED,B,3,True,STATIC,True,USEFUL_WITHOUT_JS,True,1,bangla,pos-missing;editorial-status-draft
princeton,https://ovidhan.net/word/princeton.html,0,6,0.0,6.17,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
punchy,https://ovidhan.net/word/punchy.html,0,6,0.0,9.5,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
renegotiate,https://ovidhan.net/word/renegotiate.html,0,6,0.0,11.33,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
ronin,https://ovidhan.net/word/ronin.html,0,6,0.0,6.17,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
shouting,https://ovidhan.net/word/shouting.html,0,6,0.0,12.0,BANGLADESH-FILTERED GSC,THIN-LEGACY,D,0,False,LEGACY,True,WEAK_OR_JS_DEPENDENT,False,0,none,no-meaning-or-definition
