query,category,recurring_template,BD_CLICKS,BD_IMPRESSIONS,BD_CTR,BD_POSITION,metric_scope
ovidhan,BRANDED_OVIDHAN,OTHER,10,60,0.16670000000000001,2.82,BANGLADESH-FILTERED GSC
preposition rules bangla,GRAMMAR,OTHER,1,7,0.1429,10.86,BANGLADESH-FILTERED GSC
walmart meaning in bengali,ENGLISH_TO_BANGLA_WORD_MEANING,<word> meaning in bengali,1,5,0.2,6.2,BANGLADESH-FILTERED GSC
trade off meaning in bengali,ENGLISH_TO_BANGLA_WORD_MEANING,<word> meaning in bengali,1,1,1.0,14.0,BANGLADESH-FILTERED GSC
english to bangla dictionary,ENGLISH_TO_BANGLA_DICTIONARY,english to bangla dictionary,1,1,1.0,61.0,BANGLADESH-FILTERED GSC
unconventional meaning in bengali,ENGLISH_TO_BANGLA_WORD_MEANING,<word> meaning in bengali,0,34,0.0,9.91,BANGLADESH-FILTERED GSC
slytherin meaning in bengali,ENGLISH_TO_BANGLA_WORD_MEANING,<word> meaning in bengali,0,9,0.0,7.11,BANGLADESH-FILTERED GSC
shards meaning in bengali,ENGLISH_TO_BANGLA_WORD_MEANING,<word> meaning in bengali,0,9,0.0,10.44,BANGLADESH-FILTERED GSC
underwhelming meaning in bengali,ENGLISH_TO_BANGLA_WORD_MEANING,<word> meaning in bengali,0,8,0.0,7.75,BANGLADESH-FILTERED GSC
moreno meaning in bengali,ENGLISH_TO_BANGLA_WORD_MEANING,<word> meaning in bengali,0,8,0.0,10.38,BANGLADESH-FILTERED GSC
reinvent meaning in bengali,ENGLISH_TO_BANGLA_WORD_MEANING,<word> meaning in bengali,0,8,0.0,11.25,BANGLADESH-FILTERED GSC
outta meaning in bengali,ENGLISH_TO_BANGLA_WORD_MEANING,<word> meaning in bengali,0,8,0.0,11.5,BANGLADESH-FILTERED GSC
sephora meaning in bengali,ENGLISH_TO_BANGLA_WORD_MEANING,<word> meaning in bengali,0,7,0.0,5.14,BANGLADESH-FILTERED GSC
luther you meaning in bengali,ENGLISH_TO_BANGLA_WORD_MEANING,<word> meaning in bengali,0,7,0.0,8.71,BANGLADESH-FILTERED GSC
watched এর বাংলা উচ্চারণ,UNRELATED_OR_AMBIGUOUS,OTHER,0,7,0.0,11.71,BANGLADESH-FILTERED GSC
skew meaning in bengali,ENGLISH_TO_BANGLA_WORD_MEANING,<word> meaning in bengali,0,7,0.0,58.43,BANGLADESH-FILTERED GSC
princeton meaning in bengali,ENGLISH_TO_BANGLA_WORD_MEANING,<word> meaning in bengali,0,6,0.0,6.17,BANGLADESH-FILTERED GSC
ronin meaning in bengali,ENGLISH_TO_BANGLA_WORD_MEANING,<word> meaning in bengali,0,6,0.0,6.17,BANGLADESH-FILTERED GSC
barbaric meaning in bengali,ENGLISH_TO_BANGLA_WORD_MEANING,<word> meaning in bengali,0,6,0.0,9.5,BANGLADESH-FILTERED GSC
punchy meaning in bengali,ENGLISH_TO_BANGLA_WORD_MEANING,<word> meaning in bengali,0,6,0.0,9.5,BANGLADESH-FILTERED GSC
renegotiate meaning in bengali,ENGLISH_TO_BANGLA_WORD_MEANING,<word> meaning in bengali,0,6,0.0,11.33,BANGLADESH-FILTERED GSC
shenanigans meaning in bengali,ENGLISH_TO_BANGLA_WORD_MEANING,<word> meaning in bengali,0,6,0.0,11.5,BANGLADESH-FILTERED GSC
in totality meaning in bengali,ENGLISH_TO_BANGLA_WORD_MEANING,<word> meaning in bengali,0,6,0.0,11.83,BANGLADESH-FILTERED GSC
shouting এর বাংলা উচ্চারণ,UNRELATED_OR_AMBIGUOUS,OTHER,0,6,0.0,12.0,BANGLADESH-FILTERED GSC
preposition rules in bangla,GRAMMAR,OTHER,0,5,0.0,8.6,BANGLADESH-FILTERED GSC
