control_id,matched_treatment_word,word,url,tier,migration_class,rendering_state,source_completeness_score,source_fields_present,BD_IMPRESSIONS,BD_CLICKS,BD_CTR,BD_POSITION,BD_RELEVANT_QUERY_IMPRESSIONS,query_intent,impression_band,position_band,matched_treatment_tier,matched_treatment_impression_band,matched_treatment_position_band,matched_treatment_completeness,matched_treatment_query_intent,match_cost,match_quality,control_frozen,required_action
C001,tension,skewed,https://ovidhan.net/word/skewed.html,D,THIN-LEGACY,LEGACY,0,none,7,0,0.0,58.43,0,PAGE_ONLY_OR_UNATTRIBUTED,5-19,51+,B,5-19,51+,1,MATCHED_ENGLISH_LEARNING_QUERY,36,WEAK,True,NO STATIC UPGRADE
C002,outright,outlast,https://ovidhan.net/word/outlast.html,D,THIN-LEGACY,LEGACY,0,none,5,0,0.0,11.0,5,MATCHED_ENGLISH_LEARNING_QUERY,5-19,11-20,B,5-19,11-20,1,MATCHED_ENGLISH_LEARNING_QUERY,27,WEAK,True,NO STATIC UPGRADE
C003,net-worth,tire,https://ovidhan.net/word/tire.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,19.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,11-20,B,1-4,11-20,1,PAGE_ONLY_OR_UNATTRIBUTED,6,EXACT/STRONG,True,NO STATIC UPGRADE
C004,ugly,economical,https://ovidhan.net/word/economical.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,30.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,6,EXACT/STRONG,True,NO STATIC UPGRADE
C005,stroll,militant,https://ovidhan.net/word/militant.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,27.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,4,EXACT/STRONG,True,NO STATIC UPGRADE
C006,quirky,monumental,https://ovidhan.net/word/monumental.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,26.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,4,EXACT/STRONG,True,NO STATIC UPGRADE
C007,lean,quilt,https://ovidhan.net/word/quilt.html,B,REVIEW,LEGACY,1,bangla,2,0,0.0,58.0,2,MATCHED_ENGLISH_LEARNING_QUERY,1-4,51+,B,1-4,51+,1,MATCHED_ENGLISH_LEARNING_QUERY,2,EXACT/STRONG,True,NO STATIC UPGRADE
C008,integration,on,https://ovidhan.net/word/on.html,A,REVIEW,LEGACY,6,bangla;definition;pos;example;synonyms;antonyms,1,0,0.0,74.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,A,1-4,11-20,7,MATCHED_ENGLISH_LEARNING_QUERY,24,WEAK,True,NO STATIC UPGRADE
C009,street,nun,https://ovidhan.net/word/nun.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,33.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,A,1-4,21-50,5,MATCHED_ENGLISH_LEARNING_QUERY,22,WEAK,True,NO STATIC UPGRADE
C010,provision,vanish,https://ovidhan.net/word/vanish.html,B,REVIEW,LEGACY,1,bangla,2,0,0.0,70.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,51+,A,1-4,51+,6,PAGE_ONLY_OR_UNATTRIBUTED,23,WEAK,True,NO STATIC UPGRADE
C011,legible,swing,https://ovidhan.net/word/swing.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,45.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,2,EXACT/STRONG,True,NO STATIC UPGRADE
C012,tram,terrific,https://ovidhan.net/word/terrific.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,26.0,1,MATCHED_ENGLISH_LEARNING_QUERY,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,2,EXACT/STRONG,True,NO STATIC UPGRADE
C013,magenta,equable,https://ovidhan.net/word/equable.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,39.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,7,ACCEPTABLE,True,NO STATIC UPGRADE
C014,terrible,hallmark,https://ovidhan.net/word/hallmark.html,B,REVIEW,LEGACY,1,bangla,1,0,0.0,42.0,0,PAGE_ONLY_OR_UNATTRIBUTED,1-4,21-50,B,1-4,21-50,1,MATCHED_ENGLISH_LEARNING_QUERY,7,ACCEPTABLE,True,NO STATIC UPGRADE
