Page,Query,Impressions,Clicks,CTR,Position
https://ovidhan.net/word/unconventional.html,unconventional meaning in bengali,24,0,0.0,11.0
https://ovidhan.net/,educalingo bangla,13,0,0.0,8.9
https://ovidhan.net/word/slytherin.html,slytherin meaning in bengali,10,0,0.0,7.3
https://ovidhan.net/word/mayhem.html,mayhem meaning in bengali,10,0,0.0,11.7
https://ovidhan.net/word/underwhelming.html,underwhelming meaning in bengali,8,0,0.0,7.8
https://ovidhan.net/preposition-rules-bangla.html,preposition rules bangla,7,1,0.1429,10.9
https://ovidhan.net/word/reinvent.html,reinvent meaning in bengali,7,0,0.0,11.3
https://ovidhan.net/word/watched.html,watched এর বাংলা উচ্চারণ,7,0,0.0,11.7
https://ovidhan.net/word/moreno.html,moreno meaning in bengali,6,0,0.0,10.5
https://ovidhan.net/word/barbaric.html,barbaric meaning in bengali,6,0,0.0,9.5
