Page,Author,UpdatedDate,FAQ_Schema,Breadcrumb_Schema,Internal_Links_Out,References_Section,Total_Score
index.html,0,0,1,1,89,0,2
learn.html,0,0,0,0,84,0,0
dictionary.html,0,0,0,0,134,0,0
grammar.html,1,0,1,1,74,0,3
speaking.html,1,0,1,1,102,0,3
writing.html,1,0,1,1,96,0,3
practice.html,1,0,1,1,118,0,3
assessment.html,0,0,0,1,108,0,1
exam-prep.html,0,0,0,0,80,0,0
tools.html,0,0,0,0,113,0,0
bangladesh.html,1,0,1,1,86,0,3
blog.html,0,0,0,0,79,0,0
dashboard.html,1,0,0,0,74,0,1
search.html,0,0,0,0,74,0,0
explorer.html,0,0,0,0,74,0,0
flashcards.html,0,0,0,0,75,0,0
quiz.html,0,0,0,1,76,0,1
